City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Barra Patuca,HN,79.66,overcast clouds,15.8,-84.2833,
287,Mao,ES,55.96,scattered clouds,39.8885,4.2658,ARTIEM Capri
288,Aguimes,ES,66.83,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
289,Kinablangan,PH,77.56,overcast clouds,7.6947,126.5503,The Butler’s Haus
290,Mongagua,BR,79.93,broken clouds,-24.0931,-46.6208,Hostel Aloha Brasil
292,Nizwa,OM,74.32,clear sky,22.9333,57.5333,Orient Apartments
293,Rosita,NI,83.52,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
295,Meulaboh,ID,74.75,overcast clouds,4.1363,96.1285,Kost Pria
297,Dingle,PH,77.0,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
299,Rudbar,AF,60.03,clear sky,30.15,62.6,
300,Thinadhoo,MV,81.95,overcast clouds,0.5333,72.9333,
301,Namwala,ZM,70.32,broken clouds,-15.7504,26.4384,Corner Point Lodge
302,Fukue,JP,59.22,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
304,Kalemie,CD,71.47,overcast clouds,-5.9475,29.1947,Mahobilali
305,Oyem,GA,71.71,overcast clouds,1.5995,11.5793,Commissariat de police
307,Arlit,NE,81.63,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
308,Puerto Leguizamo,CO,83.32,overcast clouds,-0.1934,-74.7819,la casona de juancho
310,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
311,Hualmay,PE,70.47,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
315,Multan,PK,60.69,smoke,30.1956,71.4753,Synergy Rooms
316,Luganville,VU,78.03,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
317,Dubbo,AU,68.13,broken clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
323,Iguape,BR,73.53,scattered clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
325,Santa Vitoria Do Palmar,BR,80.1,clear sky,-33.5189,-53.3681,Hostel Comodoro
326,Dicabisagan,PH,76.62,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
327,Christiana,ZA,71.94,overcast clouds,-27.914,25.1611,At-Neli Guesthouse
329,Magole,TZ,75.63,few clouds,-6.3667,37.3667,Juma lubelwa
330,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
331,Mitu,CO,83.93,broken clouds,1.1983,-70.1733,
333,Zhuhai,CN,67.05,clear sky,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
334,Lakes Entrance,AU,65.57,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
335,Thabazimbi,ZA,74.21,scattered clouds,-24.5917,27.4116,Eagle's Rest
337,Maldonado,UY,87.19,clear sky,-34.6667,-54.9167,La Cimarrona
338,Sebeta,ET,58.95,overcast clouds,8.9167,38.6167,Alem Hotel And Milto Cinema
339,Chardara,KZ,55.06,clear sky,41.2547,67.9692,Жанаргул
340,Gigmoto,PH,80.38,overcast clouds,13.7796,124.39,Cj's Travellers Inn
341,Chuy,UY,79.5,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
342,Am Timan,TD,79.92,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
344,Calabozo,VE,88.12,overcast clouds,8.9242,-67.4293,Hotel Giardini
347,Limon,CR,82.29,clear sky,10.0,-83.0333,Hotel Playa Bonita
348,Pedasi,PA,78.53,overcast clouds,7.5333,-80.0333,Selina Pedasi
349,Bandarbeyla,SO,80.69,broken clouds,9.4942,50.8122,JABIR HOTEL
352,Maceio,BR,85.44,clear sky,-9.6658,-35.7353,Poutur Pousada
356,Adrar,MR,81.23,overcast clouds,20.5022,-10.0711,
357,Plettenberg Bay,ZA,59.23,few clouds,-34.0527,23.3716,Thanda Vista B&B
359,Bhag,PK,71.82,clear sky,29.0415,67.8239,Bukhari hotl
362,Half Moon Bay,US,66.92,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
363,Dong Hoi,VN,64.47,overcast clouds,17.4833,106.6,Nam Long Hotel
