City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Carballo,ES,43.213,-8.691,51.49,91,99,9.78,overcast clouds
131,Binga,ZW,-17.6203,27.3414,80.19,52,29,1.99,scattered clouds
132,Severo-Kurilsk,RU,50.6789,156.125,37.8,98,100,17.83,moderate rain
133,Atar,MR,20.5169,-13.0499,86.25,24,100,8.77,overcast clouds
134,Bredasdorp,ZA,-34.5322,20.0403,60.28,69,3,14.9,clear sky
135,Martin,US,27.0837,-80.4164,73.96,66,100,11.5,overcast clouds
136,Te Anau,NZ,-45.4167,167.7167,53.55,72,100,4.45,overcast clouds
137,Chokurdakh,RU,70.6333,147.9167,-16.4,99,98,6.51,overcast clouds
138,Oussouye,SN,12.485,-16.5469,78.75,81,17,6.17,few clouds
139,Kousseri,CM,12.0769,15.0306,83.48,14,2,11.36,clear sky
140,Atuona,PF,-9.8,-139.0333,77.25,80,26,12.08,light rain
141,Camiri,BO,-20.05,-63.5167,81.57,60,100,10.27,overcast clouds
142,Alta Floresta,BR,-9.8756,-56.0861,74.73,96,100,2.57,moderate rain
143,Kruisfontein,ZA,-34.0033,24.7314,55.89,83,4,4.12,clear sky
144,Huarmey,PE,-10.0681,-78.1522,70.81,76,95,10.87,overcast clouds
145,Kosh-Agach,RU,50.0,88.6667,14.11,81,59,1.72,broken clouds
146,Port Alfred,ZA,-33.5906,26.891,62.29,73,89,10.94,light rain
147,Codrington,AU,-38.2667,141.9667,55.94,91,27,8.48,scattered clouds
148,Saskylakh,RU,71.9167,114.0833,-13.67,94,85,9.75,overcast clouds
149,Sao Filipe,CV,14.8961,-24.4956,78.24,73,4,2.33,clear sky
150,Port Lincoln,AU,-34.7333,135.8667,59.49,88,2,20.13,clear sky
151,Lorengau,PG,-2.0226,147.2712,80.96,78,28,3.42,scattered clouds
152,Rabak,SD,13.1809,32.74,79.34,19,0,10.38,clear sky
153,Paranaiba,BR,-19.6772,-51.1908,94.96,31,62,4.5,broken clouds
154,Waiouru,NZ,-39.4833,175.6667,59.16,44,28,2.06,scattered clouds
155,Rumphi,MW,-11.0186,33.8575,75.29,38,12,4.21,few clouds
156,Sorong,ID,-0.8833,131.25,81.14,81,48,5.41,scattered clouds
157,Nanortalik,GL,60.1432,-45.2371,39.34,96,100,15.7,moderate rain
158,Joao Pinheiro,BR,-17.7425,-46.1725,85.35,39,93,9.13,overcast clouds
159,Srednekolymsk,RU,67.45,153.6833,-15.09,99,100,4.63,overcast clouds
160,Ancud,CL,-41.8697,-73.8203,65.43,84,88,12.21,overcast clouds
161,Yellowknife,CA,62.456,-114.3525,0.28,82,90,9.22,light snow
162,Hilo,US,19.7297,-155.09,81.25,68,1,3.44,light rain
163,Tineo,ES,43.3376,-6.4145,46.63,97,100,3.4,overcast clouds
164,Sakakah,SA,29.9697,40.2064,60.91,42,52,10.94,broken clouds
165,Norman Wells,CA,65.282,-126.8329,-17.41,96,99,1.3,overcast clouds
166,Cotonou,BJ,6.3654,2.4183,82.02,79,92,10.94,overcast clouds
